system_id	construct_id	junction	tag_form	replica	completed_ns	frame_count	temperature_qc	pressure_qc	energy_qc	coordinate_integrity_qc	ranking_inclusion	failure_or_gap_reason
WT_112_321	WT_112_321	WT	WT	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
WT_112_321	WT_112_321	WT	WT	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
WT_112_321	WT_112_321	WT	WT	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
