system_id	construct_id	junction	tag_form	replica	slurm_array_index	job_id	slurm_log	job_id_provenance	row_type	replica_count_completed	native_backbone_rmsd_mean_A	native_backbone_rmsd_last_A	native_backbone_rmsd_block1_mean_A	native_backbone_rmsd_block2_mean_A	native_ca_rg_mean_A	local_insertion_rmsf_mean_A	global_native_rmsf_mean_A	effect_vs_WT	native_backbone_rmsd_mean_A_sd	native_backbone_rmsd_mean_A_bootstrap_ci95_low	native_backbone_rmsd_mean_A_bootstrap_ci95_high	native_backbone_rmsd_mean_A_effect_vs_WT	native_backbone_rmsd_last_A_sd	native_backbone_rmsd_last_A_bootstrap_ci95_low	native_backbone_rmsd_last_A_bootstrap_ci95_high	native_backbone_rmsd_last_A_effect_vs_WT	native_ca_rg_mean_A_sd	native_ca_rg_mean_A_bootstrap_ci95_low	native_ca_rg_mean_A_bootstrap_ci95_high	native_ca_rg_mean_A_effect_vs_WT	local_insertion_rmsf_mean_A_sd	local_insertion_rmsf_mean_A_bootstrap_ci95_low	local_insertion_rmsf_mean_A_bootstrap_ci95_high	local_insertion_rmsf_mean_A_effect_vs_WT	global_native_rmsf_mean_A_sd	global_native_rmsf_mean_A_bootstrap_ci95_low	global_native_rmsf_mean_A_bootstrap_ci95_high	global_native_rmsf_mean_A_effect_vs_WT
WT_112_321	WT_112_321	WT	WT	1	0	164556_0	results/broad_dynamics_009/logs/slurm-gmx-prod20-164556_0.err	latest_log_without_finished_mdrun	replica	1	28.836980910285874	36.72283635811853	20.602693357968118	36.98974086307573	30.66120812545772	NA	25.350546654560635	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WT_112_321	WT_112_321	WT	WT	2	1	164557_1	results/broad_dynamics_009/logs/slurm-gmx-prod20-164557_1.err	latest_log_without_finished_mdrun	replica	1	32.52469008961169	35.40822500045611	27.653361747164034	37.347787458371734	35.01441294372971	NA	29.66159018205961	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WT_112_321	WT_112_321	WT	WT	3	2	164558_2	results/broad_dynamics_009/logs/slurm-gmx-prod20-164558_2.err	latest_log_without_finished_mdrun	replica	1	26.587186313511477	33.55697686197506	23.40592819254899	29.736946829315915	27.479972639368363	NA	20.176423336047936	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	1	3	164559_3	results/broad_dynamics_009/logs/slurm-gmx-prod20-164559_3.err	latest_log_without_finished_mdrun	replica	1	26.948630141172433	32.18711196955466	21.874047767884086	31.97296912462624	30.618940429488	15.31765281472036	22.747226242698638	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	2	4	164485_4	results/broad_dynamics_009/logs/slurm-gmx-prod20-164485_4.err	latest_log_without_finished_mdrun	replica	1	17.985463622318527	30.60894872515295	10.819638803186958	25.080339680864636	23.032011658688344	7.079490416443328	15.904418206659043	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_289_290_MAP8_112_321	A89_2C_289_290_MAP8	289|290	MAP8	3	5	164400_5	results/broad_dynamics_009/logs/slurm-gmx-prod20-164400_5.err	latest_log_without_finished_mdrun	replica	1	25.212488686378673	32.57667346661126	22.544208823700778	27.854349936554808	29.195246685466884	27.456623566609945	22.146276023098693	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	1	6	164374_6	results/broad_dynamics_009/logs/slurm-gmx-prod20-164374_6.err	latest_log_without_finished_mdrun	replica	1	13.21919863003008	18.337334996853453	5.676890665934381	20.686830277649587	21.346802766083847	7.9005809997076	13.640658993336809	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	2	7	164375_7	results/broad_dynamics_009/logs/slurm-gmx-prod20-164375_7.err	latest_log_without_finished_mdrun	replica	1	11.640107216274682	31.630026251027843	5.2261368629651415	17.990572912620763	21.237321066302293	5.812153612740167	11.011900514410007	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_289_290_G196_minimal_112_321	A89_2C_289_290_G196_minimal	289|290	G196_minimal	3	8	164408_8	results/broad_dynamics_009/logs/slurm-gmx-prod20-164408_8.err	latest_log_without_finished_mdrun	replica	1	11.872440349549285	31.68869559479138	3.5871761362104233	20.075672243944194	22.121528879562685	18.75377332255897	14.193769469017196	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	1	9	164409_9	results/broad_dynamics_009/logs/slurm-gmx-prod20-164409_9.err	latest_log_without_finished_mdrun	replica	1	26.93062800816295	35.798869776317886	24.331576518729157	29.503946314533056	27.080832989832327	22.23240457208259	19.48185202026683	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	2	10	164410_10	results/broad_dynamics_009/logs/slurm-gmx-prod20-164410_10.err	latest_log_without_finished_mdrun	replica	1	29.391560520643857	20.688863279836667	29.171974620320512	29.60897230314222	28.79609916254855	34.38845805981993	24.13409745757477	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_288_289_HA_112_321	A89_2C_288_289_HA	288|289	HA	3	11	164411_11	results/broad_dynamics_009/logs/slurm-gmx-prod20-164411_11.err	latest_log_without_finished_mdrun	replica	1	32.131928360904894	35.51449671023605	27.035368855390196	37.178026881216475	32.62669527842594	35.006596049204674	28.180959638813754	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	1	12	164414_12	results/broad_dynamics_009/logs/slurm-gmx-prod20-164414_12.err	latest_log_without_finished_mdrun	replica	1	29.100153190678526	35.10818563932609	25.532473581519984	32.63250923935035	28.585109631996282	27.57713434763555	21.945749556495276	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	2	13	164415_13	results/broad_dynamics_009/logs/slurm-gmx-prod20-164415_13.err	latest_log_without_finished_mdrun	replica	1	28.99593125879725	22.77386545147909	28.844241224137	29.14611941192622	27.47208514468907	35.7052958333649	20.924620061478915	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_288_289_MAP8_112_321	A89_2C_288_289_MAP8	288|289	MAP8	3	14	164417_14	results/broad_dynamics_009/logs/slurm-gmx-prod20-164417_14.err	latest_log_without_finished_mdrun	replica	1	28.861608807686824	33.364141988076135	26.990850420377313	30.71384483472595	27.601340137346998	16.18095299158077	21.001733661858832	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	1	15	164421_15	results/broad_dynamics_009/logs/slurm-gmx-prod20-164421_15.err	latest_log_without_finished_mdrun	replica	1	24.146817506432445	31.725961545058773	17.62793747418013	30.60115417202879	28.43007775368433	17.812549232428363	23.370966150967458	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A89_2C_290_291_MAP8_112_321	A89_2C_290_291_MAP8	290|291	MAP8	2	16	164422_16	results/broad_dynamics_009/logs/slurm-gmx-prod20-164422_16.err	latest_log_without_finished_mdrun	replica	1	8.013095202893817	10.049809750996543	8.557000774192007	7.474574835271846	18.855926966882798	7.340560134631745	3.999059786236679	computed_after_summary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
