junction	functional_tier	strict_structural_pass	mapping_class	pareto_reviewable_subset_count	pareto_reviewable_fraction	method_hardening_candidate_class	direct_insertion_class	old_conflict_control
1|2	HIGH_RISK	False	exact_aligned	5	0.29411764705882354	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
2|3	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
3|4	HIGH_RISK	False	exact_aligned	5	0.29411764705882354	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
4|5	HIGH_RISK	False	exact_aligned	5	0.29411764705882354	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
5|6	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
6|7	HIGH_RISK	False	exact_aligned	5	0.29411764705882354	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
7|8	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
8|9	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
9|10	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
10|11	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
11|12	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
12|13	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
13|14	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
14|15	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
15|16	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
16|17	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
17|18	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
18|19	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
19|20	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
20|21	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
21|22	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
22|23	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
23|24	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
24|25	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
25|26	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
26|27	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
27|28	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
28|29	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
29|30	HIGH_RISK	False	exact_aligned	1	0.058823529411764705	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
30|31	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
31|32	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
32|33	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
33|34	HIGH_RISK	False	exact_aligned	3	0.17647058823529413	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
34|35	HIGH_RISK	False	ambiguous	0	0.0	mapping_uncertain	direct_insert_strongly_deleterious	
35|36	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
36|37	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
37|38	HIGH_RISK	False	exact_aligned	3	0.17647058823529413	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
38|39	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
39|40	HIGH_RISK	False	exact_aligned	1	0.058823529411764705	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
40|41	HIGH_RISK	False	exact_aligned	1	0.058823529411764705	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
41|42	HIGH_RISK	False	exact_aligned	1	0.058823529411764705	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
42|43	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
43|44	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
44|45	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
45|46	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
46|47	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
47|48	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
48|49	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
49|50	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
50|51	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
51|52	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
52|53	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
53|54	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
54|55	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
55|56	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
56|57	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
57|58	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
58|59	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
59|60	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
60|61	HIGH_RISK	False	exact_aligned	3	0.17647058823529413	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
61|62	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
62|63	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
63|64	HIGH_RISK	False	exact_aligned	5	0.29411764705882354	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
64|65	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
65|66	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
66|67	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
67|68	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
68|69	HIGH_RISK	False	exact_aligned	3	0.17647058823529413	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
69|70	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
70|71	HIGH_RISK	False	ambiguous	2	0.11764705882352941	mapping_uncertain	direct_insert_strongly_deleterious	
71|72	HIGH_RISK	False	exact_aligned	4	0.23529411764705882	pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
72|73	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
73|74	HIGH_RISK	False	exact_aligned	1	0.058823529411764705	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
74|75	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
75|76	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
76|77	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
77|78	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
78|79	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
79|80	HIGH_RISK	False	exact_aligned	2	0.11764705882352941	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
80|81	HIGH_RISK	False	exact_aligned	1	0.058823529411764705	weak_pareto_reviewable_direct_conflicted	direct_insert_strongly_deleterious	
81|82	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
82|83	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
83|84	HIGH_RISK	False	exact_aligned	0	0.0	direct_homolog_strongly_unfavorable	direct_insert_strongly_deleterious	
