construct_id	dccm_replica_pairwise_corr_mean	dccm_replica_pairwise_corr_min	network_status	candidate_tier_authority
WT_112_321	0.7668068372506571	0.7307010678539229	exploratory_replicated	mechanistic_flag_only
A89_2C_289_290_MAP8	0.6806913208958586	0.6424152715183543	exploratory_replicated	mechanistic_flag_only
A89_2C_289_290_G196_minimal	0.7643780853768506	0.7099600724326538	exploratory_replicated	mechanistic_flag_only
A89_2C_288_289_HA	0.4311703682919344	0.2878170344898569	exploratory_unstable	zero_tier_authority
A89_2C_288_289_MAP8	0.717957890905572	0.6563097760820912	exploratory_replicated	mechanistic_flag_only
A89_2C_290_291_MAP8	0.7493172300827032	0.7138148977226887	exploratory_replicated	mechanistic_flag_only
A89_2C_224_225_HA	0.7880202213590298	0.7714497007213447	exploratory_replicated	mechanistic_flag_only
A89_2C_224_225_MAP8	0.7419516733818147	0.6664817478600585	exploratory_replicated	mechanistic_flag_only
A89_2C_248_249_MAP8	0.7782086744020477	0.7573784120580851	exploratory_replicated	mechanistic_flag_only
A89_2C_248_249_HA	0.8025756731476416	0.7784272196743656	exploratory_replicated	mechanistic_flag_only
A89_2C_203_204_G196_minimal	0.7785594697674595	0.7709520443555277	exploratory_replicated	mechanistic_flag_only
A89_2C_256_257_MAP8	0.7387229448369524	0.6973657098612637	exploratory_replicated	mechanistic_flag_only
A89_2C_155_156_MAP8	0.7769095848689341	0.7657777907534367	exploratory_replicated	mechanistic_flag_only
