construct_id	junction	tag_form	model_file	rank	seed	native_ca_count	native_2c_ca_rmsd_to_wt_A	local_window_ca_rmsd_A	usalign_tm_score	usalign_status	native_2c_mean_plddt	wt_native_2c_mean_plddt	native_2c_plddt_delta_vs_wt	tag_mean_plddt	tag_native_min_heavy_atom_A	severe_clashes_2A_pre_openmm
A89_2C_155_156_MAP8	155|156	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_155_156_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb	001	031	321	1.2565411072171695	5.339405248053875	0.95483	completed	85.32591900311527	86.48959501557631	-1.163676012461039	51.3975	1.4543976205861395	1
A89_2C_155_156_MAP8	155|156	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_155_156_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb	002	032	321	1.948887898528655	6.205483516546389	0.91532	completed	85.16028037383178	86.48959501557631	-1.3293146417445314	52.8	1.4162863992550578	3
A89_2C_203_204_G196_minimal	203|204	G196_minimal	results/candidate_panel_008/expanded_colabfold/A89_2C_203_204_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb	001	031	321	3.4115721176443023	9.642664127899302	0.82429	completed	84.89417445482866	86.48959501557631	-1.5954205607476553	54.338	1.327158090954227	4
A89_2C_203_204_G196_minimal	203|204	G196_minimal	results/candidate_panel_008/expanded_colabfold/A89_2C_203_204_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb	002	032	321	3.352877443847498	9.189352318670185	0.83508	completed	82.73520249221184	86.48959501557631	-3.754392523364473	53.412	1.3454085807391964	4
A89_2C_224_225_G196_minimal	224|225	G196_minimal	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_031.pdb	001	031	321	1.568801610388764	6.3810195038622535	0.95004	completed	78.161246105919	86.48959501557631	-8.328348909657308	41.562	1.3192727979413141	1
A89_2C_224_225_G196_minimal	224|225	G196_minimal	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_032.pdb	002	032	321	2.0485429777997526	6.021222650348218	0.91685	completed	76.84037383177571	86.48959501557631	-9.649221183800606	41.35	1.3029746459133218	3
A89_2C_224_225_HA	224|225	HA	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	001	032	321	1.5157458063337672	6.732266994531962	0.9438	completed	84.14753894080997	86.48959501557631	-2.3420560747663473	50.06666666666667	1.3835745717732768	4
A89_2C_224_225_HA	224|225	HA	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_HA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb	002	031	321	2.2424553107187375	7.533248416327062	0.89733	completed	83.47258566978192	86.48959501557631	-3.017009345794392	51.52111111111111	1.3544284540680773	15
A89_2C_224_225_MAP8	224|225	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	001	032	321	1.6363239230459965	6.742694210292346	0.93888	completed	84.58479750778815	86.48959501557631	-1.9047975077881603	48.6125	1.3175524128777847	5
A89_2C_224_225_MAP8	224|225	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_224_225_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb	002	031	321	1.6137042360422136	6.9028786565966875	0.94125	completed	83.61560747663552	86.48959501557631	-2.8739875389407956	47.129999999999995	1.2971796959936883	13
A89_2C_248_249_HA	248|249	HA	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	001	032	321	1.1324580628631267	2.2759332439389994	0.94714	completed	87.55467289719626	86.48959501557631	1.065077881619942	74.35444444444445	1.3339763571042964	0
A89_2C_248_249_HA	248|249	HA	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_HA_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb	002	031	321	1.4217886694162258	2.372960288504391	0.93258	completed	87.09423676012462	86.48959501557631	0.604641744548303	74.88888888888889	1.322727668295516	0
A89_2C_248_249_MAP8	248|249	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	001	032	321	2.1121032395839694	6.868081290586764	0.90988	completed	86.49096573208723	86.48959501557631	0.0013707165109195785	59.13250000000001	1.336040636249995	3
A89_2C_248_249_MAP8	248|249	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_248_249_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb	002	031	321	1.0953362277752705	1.7130423401904233	0.9513	completed	85.88479750778816	86.48959501557631	-0.6047975077881489	70.46125	1.3113121057236539	1
A89_2C_256_257_MAP8	256|257	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_256_257_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_032.pdb	001	032	321	2.662200042687089	3.638757365276701	0.85499	completed	85.9768847352025	86.48959501557631	-0.5127102803738097	63.12875	1.2843956484939913	1
A89_2C_256_257_MAP8	256|257	MAP8	results/candidate_panel_008/expanded_colabfold/A89_2C_256_257_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_031.pdb	002	031	321	2.4942124018171894	3.7524656178212514	0.86685	completed	85.79031152647974	86.48959501557631	-0.6992834890965725	63.18625	1.2671882375156969	4
